CUSTOMERID,AGE,EDUCATION,YEARSEMPLOYED,INCOME,CARDDEBT,OTHERDEBT,DEFAULTED,ADDRESS
1,41,UNDER GRADUATE,6,19,0.124,1.073,0,NBA001
2,47,SCHOOL,26,100,4.582,8.218,0,NBA021
3,33,UNDER GRADUATE,10,57,6.111,5.802,1,NBA013
4,29,UNDER GRADUATE,4,19,0.681,0.516,0,NBA009
5,47,SCHOOL,31,253,9.308,8.908,0,NBA008
6,40,SCHOOL,23,81,0.998,7.831,$null$,NBA016
7,38,UNDER GRADUATE,4,56,0.442,0.454,0,NBA013
8,42,POST GRADUATE,0,64,0.279,3.945,0,NBA009
9,26,SCHOOL,5,18,0.575,2.215,$null$,NBA006
10,47,POST GRADUATE,23,115,0.653,3.947,0,NBA011
11,44,POST GRADUATE,8,88,0.285,5.083,1,NBA010
12,34,UNDER GRADUATE,9,40,0.374,0.266,$null$,NBA003
13,24,SCHOOL,7,18,0.526,0.644,0,NBA000
14,46,SCHOOL,6,30,1.415,3.865,$null$,NBA019
15,28,POST GRADUATE,2,20,0.233,1.647,1,NBA000
16,24,SCHOOL,1,16,0.185,1.287,$null$,NBA005
17,29,SCHOOL,1,17,0.132,0.293,0,NBA004
18,43,DOCTRATE,1,26,1.519,1.237,0,NBA005
19,44,SCHOOL,18,61,2.806,3.782,$null$,NBA000
20,36,SCHOOL,16,32,0.544,2.944,$null$,NBA013
21,29,UNDER GRADUATE,6,25,0.585,0.465,0,NBA009
22,36,POST GRADUATE,10,43,0.961,4.629,0,NBA004
23,28,POST GRADUATE,6,47,5.574,3.732,1,NBA008
24,45,SCHOOL,19,77,2.303,4.165,0,NBA022
25,37,DOCTRATE,10,123,3.022,18.257,0,NBA018
26,43,SCHOOL,9,66,2.341,3.467,$null$,NBA008
27,24,SCHOOL,4,21,0.099,0.447,0,NBA002
28,37,SCHOOL,19,38,2.591,2.539,$null$,NBA007
29,38,UNDER GRADUATE,13,59,0.408,1.008,0,NBA000
30,34,UNDER GRADUATE,9,45,1.118,3.427,0,NBA013
31,40,POST GRADUATE,18,100,1.485,1.015,0,NBA006
32,42,UNDER GRADUATE,12,55,2.533,5.717,0,NBA009
33,23,UNDER GRADUATE,0,42,1.019,0.619,1,NBA001
34,40,POST GRADUATE,5,28,1.263,1.537,$null$,NBA018
35,28,SCHOOL,12,45,1.854,1.611,0,NBA007
36,33,UNDER GRADUATE,5,37,1.029,2.079,$null$,NBA002
37,35,POST GRADUATE,5,37,0.581,1.417,1,NBA003
38,37,SCHOOL,0,18,1.584,0.738,1,NBA018
39,22,SCHOOL,1,18,0.270,0.522,0,NBA000
40,39,POST GRADUATE,16,126,1.405,7.163,$null$,NBA010
41,20,SCHOOL,4,14,0.201,1.157,1,NBA000
42,48,POST GRADUATE,17,113,3.376,10.184,0,NBA026
43,28,UNDER GRADUATE,5,34,3.099,4.993,0,NBA009
44,37,POST DOCTORAL RESEARCH,9,177,0.888,9.555,0,NBA016
45,48,SCHOOL,3,27,1.403,4.348,0,NBA011
